average,date,highest,lowest,order_count,volume,region_id,type_id,http_last_modified
1718,2022-10-31,1718,1718,14,184332,10000002,41314,2022-11-01T11:09:09Z
1835,2022-10-31,1835,1835,15,117023,10000002,41316,2022-11-01T11:09:09Z
1094,2022-10-31,1094,1094,1,2500,10000002,41318,2022-11-01T11:09:09Z
1449,2022-10-31,1449,1449,1,2500,10000002,41320,2022-11-01T11:09:09Z
3993,2022-10-31,3993,3993,8,24782,10000002,41322,2022-11-01T11:09:09Z
2998,2022-10-31,2998,2998,5,19000,10000002,41324,2022-11-01T11:09:09Z
3299,2022-10-31,3299,3299,2,2500,10000002,41326,2022-11-01T11:09:09Z
5887,2022-10-31,5887,5887,1,2500,10000002,41328,2022-11-01T11:09:09Z
1716325.84,2022-10-31,1717000,1715000,7,89,10000002,41330,2022-11-01T11:09:09Z
1578000,2022-10-31,1578000,1578000,9,161,10000002,41332,2022-11-01T11:09:09Z
3755111.11,2022-10-31,3756000,3755000,2,18,10000002,41334,2022-11-01T11:09:09Z
4621266.67,2022-10-31,4622000,4620000,2,30,10000002,41336,2022-11-01T11:09:09Z
300000000,2022-10-31,300000000,300000000,2,3,10000002,41355,2022-11-01T11:09:09Z
300000000,2022-10-31,300000000,300000000,1,1,10000002,41361,2022-11-01T11:09:09Z
300000000,2022-10-31,300000000,300000000,1,1,10000002,41363,2022-11-01T11:09:09Z
200473400,2022-10-31,200473400,200473400,3,4,10000002,41376,2022-11-01T11:09:09Z
203363320,2022-10-31,203363320,203363320,1,1,10000002,41379,2022-11-01T11:09:09Z
200013400,2022-10-31,200013400,200013400,1,1,10000002,41385,2022-11-01T11:09:09Z
30000000,2022-10-31,30000000,30000000,3,22,10000002,41409,2022-11-01T11:09:09Z
30000000,2022-10-31,30000000,30000000,3,3,10000002,41410,2022-11-01T11:09:09Z
38965000,2022-10-31,40380000,36060000,8,8,10000002,41411,2022-11-01T11:09:09Z
153271428.57,2022-10-31,154000000,137000000,20,28,10000002,41415,2022-11-01T11:09:09Z
455675000,2022-10-31,456200000,455500000,4,4,10000002,41456,2022-11-01T11:09:09Z
403645454.55,2022-10-31,448000000,350800000,10,11,10000002,41459,2022-11-01T11:09:09Z
83734166.67,2022-10-31,84980000,83485000,8,12,10000002,41463,2022-11-01T11:09:09Z
48980000,2022-10-31,49960000,45070000,4,5,10000002,41469,2022-11-01T11:09:09Z
24266666.67,2022-10-31,27400000,18000000,2,3,10000002,41471,2022-11-01T11:09:09Z
639387.5,2022-10-31,780000,202600,5,32,10000002,41476,2022-11-01T11:09:09Z
2380480.77,2022-10-31,2697000,815500,13,26,10000002,41477,2022-11-01T11:09:09Z
1694966.67,2022-10-31,1868000,771800,6,6,10000002,41478,2022-11-01T11:09:09Z
39900000,2022-10-31,39900000,39900000,1,1,10000002,41479,2022-11-01T11:09:09Z
409114.29,2022-10-31,672400,381400,3,21,10000002,41480,2022-11-01T11:09:09Z
1663375,2022-10-31,1988000,1030000,8,8,10000002,41481,2022-11-01T11:09:09Z
1965807.69,2022-10-31,2314000,1902000,10,26,10000002,41482,2022-11-01T11:09:09Z
59398000,2022-10-31,59660000,59000000,4,5,10000002,41485,2022-11-01T11:09:09Z
18226363.64,2022-10-31,18675000,13740000,10,11,10000002,41486,2022-11-01T11:09:09Z
981200000,2022-10-31,981200000,981200000,1,1,10000002,41488,2022-11-01T11:09:09Z
14190,2022-10-31,14190,14190,75,10643,10000002,41489,2022-11-01T11:09:09Z
924800,2022-10-31,925000,923800,277,9767,10000002,41490,2022-11-01T11:09:09Z
66550625,2022-10-31,69880000,60100000,10,16,10000002,41491,2022-11-01T11:09:09Z
128395833.33,2022-10-31,133000000,120000000,15,24,10000002,41492,2022-11-01T11:09:09Z
121339750,2022-10-31,123900000,114800000,35,40,10000002,41493,2022-11-01T11:09:09Z
114405454.55,2022-10-31,118250000,76560000,8,11,10000002,41498,2022-11-01T11:09:09Z
111240000,2022-10-31,111300000,111000000,5,5,10000002,41499,2022-11-01T11:09:09Z
558400000,2022-10-31,558400000,558400000,2,2,10000002,41500,2022-11-01T11:09:09Z
127180000,2022-10-31,127300000,127050000,5,5,10000002,41503,2022-11-01T11:09:09Z
99333333.33,2022-10-31,100000000,98000000,3,3,10000002,41504,2022-11-01T11:09:09Z
122100000,2022-10-31,124200000,120000000,2,2,10000002,41505,2022-11-01T11:09:09Z
85730000,2022-10-31,85730000,85730000,1,1,10000002,41506,2022-11-01T11:09:09Z
160637500,2022-10-31,165200000,157900000,10,16,10000002,41507,2022-11-01T11:09:09Z
39046666.67,2022-10-31,47975000,21190000,3,3,10000002,41515,2022-11-01T11:09:09Z
30000,2022-10-31,30000,30000,12,1415,10000002,41517,2022-11-01T11:09:09Z
25237.56,2022-10-31,75000,24780,8,57,10000002,41518,2022-11-01T11:09:09Z
32758.04,2022-10-31,75000,31990,7,56,10000002,41519,2022-11-01T11:09:09Z
31452.64,2022-10-31,32000,800.2,7,57,10000002,41520,2022-11-01T11:09:09Z
11730,2022-10-31,11730,11730,4,5,10000002,41521,2022-11-01T11:09:09Z
16700,2022-10-31,16700,16700,3,4,10000002,41522,2022-11-01T11:09:09Z
24920,2022-10-31,24920,24920,3,4,10000002,41523,2022-11-01T11:09:09Z
534075,2022-10-31,534900,533800,3,4,10000002,41524,2022-11-01T11:09:09Z
