type_id,is_buy_order,price,system_id,volume_remain,order_count_history,volume_history,typeName,categoryID,categoryName,groupID,groupName,primaryIndex,subIndex,jita_price,buysell_difference,buysell_percentage,formula
5051,False,200000.0,30002510,116,15,19,Heavy F-RX Compact Capacitor Booster,7,Module,76,Capacitor Booster,Consumer Price Index,,214500.0,14500.0,6.75990675990676,1.1072261072261071
5091,False,9000.0,30002187,57,197,467,Small Inductive Compact Remote Capacitor Transmitter,7,Module,67,Remote Capacitor Transmitter,Consumer Price Index,,8009.0,991.0,12.373579722811836,101.37652158865137
5091,False,9000.0,30002659,9,100,152,Small Inductive Compact Remote Capacitor Transmitter,7,Module,67,Remote Capacitor Transmitter,Consumer Price Index,,8009.0,991.0,12.373579722811836,208.97601309637767
5091,False,10000.0,30002053,103,21,32,Small Inductive Compact Remote Capacitor Transmitter,7,Module,67,Remote Capacitor Transmitter,Consumer Price Index,,8009.0,1991.0,24.859533025346487,7.723350066127064
5091,False,9999.0,30002510,25,39,97,Small Inductive Compact Remote Capacitor Transmitter,7,Module,67,Remote Capacitor Transmitter,Consumer Price Index,,8009.0,1990.0,24.847047072043953,96.40654263953054
5093,False,8000.0,30002187,92,340,747,Small Radiative Scoped Remote Capacitor Transmitter,7,Module,67,Remote Capacitor Transmitter,Consumer Price Index,,8865.0,865.0,9.75747320924986,79.22644007945267
5093,False,24890.0,30002659,137,184,338,Small Radiative Scoped Remote Capacitor Transmitter,7,Module,67,Remote Capacitor Transmitter,Consumer Price Index,,8865.0,16025.0,180.76706147772137,445.98004948518115
5093,False,9000.0,30002053,62,27,50,Small Radiative Scoped Remote Capacitor Transmitter,7,Module,67,Remote Capacitor Transmitter,Consumer Price Index,,8865.0,135.0,1.5228426395939088,1.2280989028983134
5093,False,17000.0,30002510,57,78,145,Small Radiative Scoped Remote Capacitor Transmitter,7,Module,67,Remote Capacitor Transmitter,Consumer Price Index,,8865.0,8135.0,91.76536943034405,233.43822048069978
5137,False,2988.0,30002187,798,215,416,Small Knave Scoped Energy Nosferatu,7,Module,68,Energy Nosferatu,Consumer Price Index,,1783.0,1205.0,67.58272574312956,35.23109512423797
5137,False,9990.0,30002659,262,124,191,Small Knave Scoped Energy Nosferatu,7,Module,68,Energy Nosferatu,Consumer Price Index,,1783.0,8207.0,460.2916432978127,335.55612164077183
5141,False,3000.0,30002187,2472,265,533,Small Ghoul Compact Energy Nosferatu,7,Module,68,Energy Nosferatu,Consumer Price Index,,1586.0,1414.0,89.15510718789407,19.223168337842854
5141,False,15000.0,30002659,347,152,261,Small Ghoul Compact Energy Nosferatu,7,Module,68,Energy Nosferatu,Consumer Price Index,,1586.0,13414.0,845.7755359394703,636.1596970611001
5239,False,9850.0,30002187,1228,335,791,EP-S Gaussian Scoped Mining Laser,7,Module,54,Mining Laser,Consumer Price Index,,2013.0,7837.0,389.31942374565324,250.77497083290856
5239,False,11000.0,30002659,1461,206,419,EP-S Gaussian Scoped Mining Laser,7,Module,54,Mining Laser,Consumer Price Index,,2013.0,8987.0,446.448087431694,128.03678893489376
5239,False,34900.0,30002053,99,119,185,EP-S Gaussian Scoped Mining Laser,7,Module,54,Mining Laser,Consumer Price Index,,2013.0,32887.0,1633.7307501241928,3052.931199727027
5239,False,17960.0,30002510,1419,144,259,EP-S Gaussian Scoped Mining Laser,7,Module,54,Mining Laser,Consumer Price Index,,2013.0,15947.0,792.200695479384,144.5947710564908
5245,False,2000.0,30002187,684,190,425,Particle Bore Compact Mining Laser,7,Module,54,Mining Laser,Consumer Price Index,,1127.0,873.0,77.4622892635315,48.1308083874282
5245,False,3500.0,30002659,95,136,316,Particle Bore Compact Mining Laser,7,Module,54,Mining Laser,Consumer Price Index,,1127.0,2373.0,210.55900621118013,700.3857469761359
5245,False,13000.0,30002510,63,73,117,Particle Bore Compact Mining Laser,7,Module,54,Mining Laser,Consumer Price Index,,1127.0,11873.0,1053.5048802129547,1956.5090632526303
