date,quantity,type,unit_price,total,client,where
2022.11.08 22:47,5,Hornet EC-300,"6,009 ISK","-30,045 ISK",Ter Melodra,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 22:47,1,Deluge Enduring Burst Jammer,"5,506 ISK","-5,506 ISK",Prassidico,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 22:44,1,Hammerhead I,"23,180 ISK","-23,180 ISK",sloomer,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 22:44,1,Hammerhead I,"23,180 ISK","-23,180 ISK",sloomer,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 22:44,1,Hammerhead I,"23,180 ISK","-23,180 ISK",sloomer,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 22:42,30,Crash,8 ISK,-242 ISK,Ralaga,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 22:36,10,Hornet EC-300,"6,009 ISK","-60,090 ISK",cuteness,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 22:35,1,Deluge Enduring Burst Jammer,"5,506 ISK","-5,506 ISK",Canis Majoris I,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 22:34,1,Deluge Enduring Burst Jammer,"5,506 ISK","-5,506 ISK",vandros Semah,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 22:34,1,Hammerhead I,"23,180 ISK","-23,180 ISK",vandros Semah,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 22:34,1,Gamma S,"3,128 ISK","-3,128 ISK",vandros Semah,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 22:34,1,Standard L,"20,100 ISK","-20,100 ISK",vandros Semah,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 22:32,10,Hornet EC-300,"6,009 ISK","-60,090 ISK",Srba Razorni,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 22:31,5,Hornet EC-300,"6,009 ISK","-30,045 ISK",Assassin X Shadow,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 22:30,1,Gamma S,"3,128 ISK","-3,128 ISK",Angelus67,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 22:29,2,Deluge Enduring Burst Jammer,"5,506 ISK","-11,012 ISK",Angelus67,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 22:27,3,Standard L,"20,100 ISK","-60,300 ISK",Angelus67,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 22:26,5,Hornet EC-300,"6,009 ISK","-30,045 ISK",Anaander Mianarii,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 22:26,7,Hammerhead I,"23,180 ISK","-162,260 ISK",Anaander Mianarii,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 22:25,1,Deluge Enduring Burst Jammer,"5,506 ISK","-5,506 ISK",Ishumitsu,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 22:24,3,Standard L,"20,100 ISK","-60,300 ISK",Ishumitsu,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 22:24,1,Gamma S,"3,128 ISK","-3,128 ISK",Ishumitsu,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 22:04,5,Hornet EC-300,"6,009 ISK","-30,045 ISK",Elkie Zpittvar,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 21:58,1,Gamma S,"3,128 ISK","-3,128 ISK",Chris Lecroix,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 21:57,5,Hornet EC-300,"6,009 ISK","-30,045 ISK",Garad Martar,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 21:56,1,Hammerhead I,"23,180 ISK","-23,180 ISK",Ambralex Tenebris,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 21:52,1,Hammerhead I,"23,180 ISK","-23,180 ISK",Colosera Heldicon,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 21:50,1,Hammerhead I,"23,180 ISK","-23,180 ISK",Brucss Aivo,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 21:49,1,Gamma S,"3,128 ISK","-3,128 ISK",Atlas Corinno,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 21:49,4,Hammerhead I,"23,180 ISK","-92,720 ISK",Atlas Corinno,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 21:45,1,F-90 Compact Sensor Booster,"3,200 ISK","-3,200 ISK",IMerfiI,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 21:44,1,F-90 Compact Sensor Booster,"3,200 ISK","-3,200 ISK",Engineer II,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 21:43,4,Hammerhead I,"23,180 ISK","-92,720 ISK",Duplikus Drako,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 21:43,3,F-90 Compact Sensor Booster,"3,200 ISK","-9,600 ISK",Duplikus Drako,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 21:43,1,F-90 Compact Sensor Booster,"3,200 ISK","-3,200 ISK",Professor Kaos,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 21:42,1,Deluge Enduring Burst Jammer,"5,506 ISK","-5,506 ISK",Alexander Shirapov,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 21:39,2,Hammerhead I,"23,180 ISK","-46,360 ISK",Nienekaila Utrigas,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 21:26,2,F-90 Compact Sensor Booster,"3,199 ISK","-6,398 ISK",SilverKing1,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 21:25,13,Deluge Enduring Burst Jammer,"5,506 ISK","-71,578 ISK",Vaneaok Rottweiler87,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 21:25,2,F-90 Compact Sensor Booster,"3,199 ISK","-6,398 ISK",Heiram Sakara,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 21:17,50,Hornet EC-300,"6,009 ISK","-300,450 ISK",Maagnum PI Uitra,Jita IV - Moon 4 - Caldari Navy Assembly Plant
